J;Ct
0;0,112463893
0,02512025;0,111678403
0,058600166;0,110891285
0,103245843;0,109711965
0,145661842;0,108533188
0,181362753;0,107940272
0,225999746;0,106955696
0,266160014;0,106361694
0,306320281;0,105767692
0,350922538;0,105562093
0,388835758;0,105358122
0,422272253;0,105544724
0,464662199;0,10495018
0,486993722;0,104165776
0,513801971;0,102990798
0,533938552;0,10142796
0,562993848;0,099862952
0,583139114;0,09810537
0,60328438;0,096347789
0,630153418;0,093809602
0,650307368;0,091857277
0,670470002;0,089710207
0,688385589;0,087953168
0,706318544;0,085806641
0,724242816;0,083854858
0,744422818;0,0813183
0,763470613;0,079171502
0,778041682;0,077415277
0,793753643;0,075074549
0,819533895;0,071952402
0,836360696;0,069611402
0,849834294;0,06746596
0,865546255;0,065125232
0,8812669;0,06258976
0,899225909;0,059859001
0,916061393;0,057323257
0,932888194;0,054982257
0,950847202;0,052251498
0,968797526;0,049715483
0,984518171;0,04718001
0,99799177;0,045034569
1,018180456;0,042303267
1,035007257;0,039962267
1,050745271;0,037037306
1,070933957;0,034306004
1,090025173;0,031185486
1,107984182;0,028454726
1,125934506;0,025918711
1,146131877;0,022992665
1,164099569;0,020067162
1,18429694;0,017141116
1,202255948;0,014410356
1,224717735;0,010704791
1,242685428;0,007779288
1,262891483;0,004658498
1,283062801;0,002316684
1,295425902;0,00E+00
