J;eta
0,199017137;0,204703526
0,246715623;0,259696163
0,299456115;0,324105874
0,340522004;0,382023483
0,377423519;0,438503661
0,401722133;0,47180399
0,432729346;0,5152415
0,45704485;0,55144453
0,49470155;0,594859769
0,533172546;0,635369524
0,570803913;0,674430711
0,621742697;0,714898707
0,661800064;0,742340739
0,701009357;0,766882854
0,748522063;0,789945779
0,798511438;0,810097651
0,85015474;0,828792604
0,904283154;0,846027856
0,963364906;0,857441002
1,018248506;0,861611315
1,076406181;0,857062389
1,112919247;0,846780442
1,141103565;0,833623634
1,162638396;0,820489098
1,177540629;0,810279533
1,1940799;0,79571035
1,205598278;0,775352468
1,217108212;0,753543235
1,225318736;0,736099189
1,231866888;0,718660712
1,238406595;0,699770883
1,243283931;0,680886623
1,248169712;0,663453713
1,249739193;0,64748329
1,252937268;0,625701896
1,256110009;0,599566451
1,260953567;0,574876788
1,264109419;0,545838642
1,267341272;0,529862651
1,270471791;0,496470453
1,273644532;0,470335008
1,276775051;0,43694281
1,278251642;0,405007531
1,283044533;0,371609765
1,284554902;0,345479888
1,285997715;0,307739206
1,287465862;0,274352576
1,292300975;0,248211563
1,292123639;0,217733202
1,293591786;0,184346572
1,295034599;0,146605891
1,29813134;0,107408291
1,297903337;0,068221826
1,297726001;0,037743465
1,299177259;0,001454134
